Index,GPA,SAT,Strategy
3.1:1370,3.1,1370,2
3.0:1370,3,1370,2
2.9:1370,2.9,1370,2
2.8:1370,2.8,1370,4
2.7:1370,2.7,1370,4
2.6:1370,2.6,1370,5
2.5:1370,2.5,1370,5
2.4:1370,2.4,1370,5
2.3:1370,2.3,1370,5
2.2:1370,2.2,1370,5
2.1:1370,2.1,1370,6
2.0:1370,2,1370,6
1.9:1370,1.9,1370,6
1.8:1370,1.8,1370,6
1.7:1370,1.7,1370,6
1.6:1370,1.6,1370,6
1.5:1370,1.5,1370,7
4.3:1400,4.3,1400,1
4.2:1400,4.2,1400,1
4.1:1400,4.1,1400,1
4.0:1400,4,1400,1
3.9:1400,3.9,1400,1
3.8:1400,3.8,1400,1
3.7:1400,3.7,1400,1
3.6:1400,3.6,1400,1
3.5:1400,3.5,1400,1
3.4:1400,3.4,1400,1
3.3:1400,3.3,1400,2
3.2:1400,3.2,1400,2
3.1:1400,3.1,1400,2
3.0:1400,3,1400,2
2.9:1400,2.9,1400,2
2.8:1400,2.8,1400,2
2.7:1400,2.7,1400,2
2.6:1400,2.6,1400,4
2.5:1400,2.5,1400,5
2.4:1400,2.4,1400,5
2.3:1400,2.3,1400,5
2.2:1400,2.2,1400,5
2.1:1400,2.1,1400,5
2.0:1400,2,1400,6
1.9:1400,1.9,1400,6
1.8:1400,1.8,1400,6
1.7:1400,1.7,1400,6
1.6:1400,1.6,1400,6
1.5:1400,1.5,1400,6
4.3:1430,4.3,1430,1
4.2:1430,4.2,1430,1
4.1:1430,4.1,1430,1
4.0:1430,4,1430,1
3.9:1430,3.9,1430,1
3.8:1430,3.8,1430,1
3.7:1430,3.7,1430,1
3.6:1430,3.6,1430,1
3.5:1430,3.5,1430,1
3.4:1430,3.4,1430,1
3.3:1430,3.3,1430,1
3.2:1430,3.2,1430,1
3.1:1430,3.1,1430,2
3.0:1430,3,1430,2
2.9:1430,2.9,1430,2
2.8:1430,2.8,1430,2
2.7:1430,2.7,1430,2
2.6:1430,2.6,1430,2
